nft_collection_name,nft_type,verified,tradeport_url
Suiversary,0xdb9f34b220e76e333553dc4c4bc6f3110d5c103b60316562eeab34b1fa902349,True,https://www.tradeport.xyz/sui/collection/0xdb9f34b220e76e333553dc4c4bc6f3110d5c103b60316562eeab34b1fa902349
tismer,0xf8866511bb59233c741c04f9f57757146a9a974e3aa422bf969e6ae9f6c20cca,True,https://www.tradeport.xyz/sui/collection/0xf8866511bb59233c741c04f9f57757146a9a974e3aa422bf969e6ae9f6c20cca
Cosmocadia,0x4125c462e4dc35631e7b31dc0c443930bd96fbd24858d8e772ff5b225c55a792,True,https://www.tradeport.xyz/sui/collection/0x4125c462e4dc35631e7b31dc0c443930bd96fbd24858d8e772ff5b225c55a792
SEED Mon Box,0xe71e8e0a201c95c07e62afd6ce58fbaf63d9755a78d06d3bd33b178a2b9a7bf9::box::Item,True,https://www.tradeport.xyz/sui/collection/0xe71e8e0a201c95c07e62afd6ce58fbaf63d9755a78d06d3bd33b178a2b9a7bf9::box::Item
Dungeon Move,0x625d518a3cc78899742d76cf785609cd707e15228d4284aa4fee5ca53caa9849,True,https://www.tradeport.xyz/sui/collection/0x625d518a3cc78899742d76cf785609cd707e15228d4284aa4fee5ca53caa9849
SLP Lootbox,0xd2e44dc1311833ddb0427f2141e2935720cf5454cf0ef39141fc80c19e1e6caa,True,https://www.tradeport.xyz/sui/collection/0xd2e44dc1311833ddb0427f2141e2935720cf5454cf0ef39141fc80c19e1e6caa
KFK Warriors Vol.1,0xf52cb2dcb50216fa58dbd5c1f05a9b5bd1749f244755efbf3e023ae42ce7971a,True,https://www.tradeport.xyz/sui/collection/0xf52cb2dcb50216fa58dbd5c1f05a9b5bd1749f244755efbf3e023ae42ce7971a
Sweeb Discount Ticket,0x256cf2cbe798fd0458fa04464a7b6e127d57f754535d20b96243e231c1964910::SWEEBS::SweebTicket,True,https://www.tradeport.xyz/sui/collection/0x256cf2cbe798fd0458fa04464a7b6e127d57f754535d20b96243e231c1964910::SWEEBS::SweebTicket
BuckYou Fortune Bag,0xd441d82fa791d7e7fc89eb2a40b0714bd9a6a1aaf0c897d702802d30109c1f7b::fortune_bag,True,https://www.tradeport.xyz/sui/collection/0xd441d82fa791d7e7fc89eb2a40b0714bd9a6a1aaf0c897d702802d30109c1f7b::fortune_bag
Nordic Legends,0xcdbec1c422f0a56afc0515e4458f6e994d2fa9a660513e03014e90eb7af2165a,True,https://www.tradeport.xyz/sui/collection/0xcdbec1c422f0a56afc0515e4458f6e994d2fa9a660513e03014e90eb7af2165a
Embryo,0xe27dcd994b530bd6a44f72bccdf287904247de243b56c0e2f71c768da56deb3c,True,https://www.tradeport.xyz/sui/collection/0xe27dcd994b530bd6a44f72bccdf287904247de243b56c0e2f71c768da56deb3c
Panzerdogs V2,0x524ac2292d0862f294f1c4973b7d83b008e40e22c333156bc9747626053293f6::panzerdogs::Panzerdog,True,https://www.tradeport.xyz/sui/collection/0x524ac2292d0862f294f1c4973b7d83b008e40e22c333156bc9747626053293f6::panzerdogs::Panzerdog
Evos,0x169664f0f62bec3d59bb621d84df69927b3377a1f32ff16c862d28c158480065,True,https://www.tradeport.xyz/sui/collection/0x169664f0f62bec3d59bb621d84df69927b3377a1f32ff16c862d28c158480065
Probably Saiyan,0xb4056ce0129e61a15f2a78d17491bfa8ea1f5df9544760b0f4e71e3599c322f8,True,https://www.tradeport.xyz/sui/collection/0xb4056ce0129e61a15f2a78d17491bfa8ea1f5df9544760b0f4e71e3599c322f8
Suirfboard,0xf850e035318c6eff44e43cd9978b4b15e5156d746d25b648f63ebbc44ef0d461,True,https://www.tradeport.xyz/sui/collection/0xf850e035318c6eff44e43cd9978b4b15e5156d746d25b648f63ebbc44ef0d461
